CODE	GEO	Year	National_monu	Nature_heri	Intangi_heri	World_heri_sites	Intangi_UNESCO_heri	Museums	Theatres	Libraries	Cult_crea_enterprises	Cult_employ	Ministry_of_cult	Local_cult_author	Regul_framework	interministr_coop	DMO_impact_manag	Cult_manag_plan	Job_creation	Small_enterpr_growth	Assist_and_subs	Tax_status	Cult_exp_capita	Administr_coop	Publi_priva_coop	Publi_NGO_coop	Cult_strat_doc	Cult_particip_prom
2	Barbastro	2017	1	0	58	0	3	59.147	59.147	59.147	85	N/A	1	1	1	0	0	1	1	1	1	1	55.32	1	1	1	1	1
2	Barbastro	2018	1	0	58	0	3	59.018	59.018	59.018	90	N/A	1	1	1	0	0	1	1	1	1	1	52.34	1	1	1	1	1
2	Barbastro	2019	1	0	58	0	3	58.896	58.896	58.896	N/A	N/A	1	1	1	0	0	1	1	1	1	1	55.83	1	1	1	1	1
3	Benasque	2007	1	1	33	1	0	480.769	961.538	480.769	N/A	N/A	1	1	1	0	0	1	1	1	1	1	0.00	1	1	1	1	1
3	Benasque	2008	1	1	33	1	0	461.681	923.361	461.681	N/A	N/A	1	1	1	0	0	1	1	1	1	1	0.00	1	1	1	0	1
3	Benasque	2009	1	1	33	1	0	454.545	909.091	454.545	13	N/A	1	1	1	0	0	1	1	1	1	1	0.00	1	1	1	0	1
3	Benasque	2010	1	1	33	1	0	450.653	901.307	450.653	10	N/A	1	1	1	0	0	1	1	1	1	1	0.00	1	1	1	1	1
3	Benasque	2011	1	1	33	1	0	447.227	894.454	447.227	12	N/A	1	1	1	0	0	1	1	1	1	1	0.00	1	1	1	1	1
3	Benasque	2012	1	1	33	1	0	45.106	90.212	45.106	11	N/A	1	1	1	0	0	1	1	1	1	1	0.00	1	1	1	1	1
3	Benasque	2013	1	1	33	1	0	455.581	911.162	455.581	19	N/A	1	1	1	0	0	1	1	1	1	1	0.00	1	1	1	1	1
3	Benasque	2014	1	1	33	1	0	465.333	930.665	465.333	16	N/A	1	1	1	0	0	1	1	1	1	1	155.69	1	1	1	0	1
3	Benasque	2015	1	1	33	1	0	478.469	956.938	478.469	25	N/A	1	1	1	0	0	1	1	1	1	1	119.77	1	1	1	0	1
3	Benasque	2016	1	1	33	1	0	48.852	97.704	48.852	32	N/A	1	1	1	0	0	1	1	1	1	1	136.03	1	1	1	0	1
3	Benasque	2017	1	1	33	1	0	471.476	942.951	471.476	31	N/A	1	1	1	0	0	1	1	1	1	1	165.94	1	1	1	0	1
3	Benasque	2018	1	1	33	1	0	463.607	927.214	463.607	26	N/A	1	1	1	0	0	1	1	1	1	1	209.66	1	1	1	0	1
3	Benasque	2019	1	1	33	1	0	464.037	928.074	464.037	N/A	N/A	1	1	1	0	0	1	1	1	1	1	325.97	1	1	1	0	1
4	Graus	2007	1	0	108	0	0	288.018	576.037	576.037	N/A	N/A	1	1	1	0	0	1	1	1	1	1	0.00	1	1	1	0	1
4	Graus	2008	1	0	108	0	0	277.393	554.785	554.785	N/A	N/A	1	1	1	0	0	1	1	1	1	1	0.00	1	1	1	0	1
4	Graus	2009	1	0	108	0	0	272.851	545.703	545.703	16	N/A	1	1	1	0	0	1	1	1	1	1	0.00	1	1	1	0	1
4	Graus	2010	1	0	108	0	0	27.027	540.541	540.541	19	N/A	1	1	1	0	0	1	1	1	1	1	0.00	1	1	1	1	1
4	Graus	2011	1	0	108	0	0	27.049	540.979	540.979	18	N/A	1	1	1	0	0	1	1	1	1	1	0.00	1	1	1	1	1
4	Graus	2012	1	0	108	0	0	278.164	556.328	556.328	16	N/A	1	1	1	0	0	1	1	1	1	1	0.00	1	1	1	1	1
4	Graus	2013	1	0	108	0	0	284.657	569.314	569.314	20	N/A	1	1	1	0	0	1	1	1	1	1	0.00	1	1	1	1	1
4	Graus	2014	1	0	108	0	0	29.163	58.326	58.326	28	N/A	1	1	1	0	0	1	1	1	1	1	158.84	1	1	1	0	1
4	Graus	2015	1	0	108	0	0	296.648	593.296	593.296	36	N/A	1	1	1	0	0	1	1	1	1	1	162.48	1	1	1	0	1
4	Graus	2016	1	0	108	0	0	300.391	600.781	600.781	34	N/A	1	1	1	0	0	1	1	1	1	1	214.10	1	1	1	0	1
4	Graus	2017	1	0	108	0	0	29.994	59.988	59.988	39	N/A	1	1	1	0	0	1	1	1	1	1	242.31	1	1	1	0	1
4	Graus	2018	1	0	108	0	0	302.572	605.144	605.144	49	N/A	1	1	1	0	0	1	1	1	1	1	158.95	1	1	1	0	1
4	Graus	2019	1	0	108	0	0	294.551	589.102	589.102	N/A	N/A	1	1	1	0	0	1	1	1	1	1	197.78	1	1	1	0	1
5	Huesca	2007	9	0	1931	0	0	80.291	160.581	60.218	N/A	N/A	1	1	1	0	0	1	1	1	1	1	0.00	1	1	1	0	1
5	Huesca	2008	9	0	1931	0	0	78.252	156.504	58.689	N/A	N/A	1	1	1	0	0	1	1	1	1	1	0.00	1	1	1	0	1
5	Huesca	2009	9	0	1931	0	0	76.836	153.672	57.627	182	N/A	1	1	1	0	0	1	1	1	1	1	0.00	1	1	1	0	1
5	Huesca	2010	9	0	1931	0	0	76.413	152.826	5.731	194	N/A	1	1	1	0	0	1	1	1	1	1	0.00	1	1	1	0	1
5	Huesca	2011	9	0	1931	0	0	76.273	152.547	57.205	211	N/A	1	1	1	0	0	1	1	1	1	1	0.00	1	1	1	0	1
5	Huesca	2012	9	0	1931	0	0	76.488	152.975	57.366	203	N/A	1	1	1	0	0	1	1	1	1	1	0.00	1	1	1	0	1
5	Huesca	2013	9	0	1931	0	0	7.631	152.619	57.232	275	N/A	1	1	1	0	0	1	1	1	1	1	0.00	1	1	1	0	1
5	Huesca	2014	9	0	1931	0	0	76.111	152.221	57.083	272	N/A	1	1	1	0	0	1	1	1	1	1	55.83	1	1	1	0	1
5	Huesca	2015	9	0	1931	0	0	76.571	153.142	57.428	347	N/A	1	1	1	0	0	1	1	1	1	1	56.53	1	1	1	0	1
5	Huesca	2016	9	0	1931	0	0	76.508	153.016	57.381	376	N/A	1	1	1	0	0	1	1	1	1	1	71.69	1	1	1	0	1
5	Huesca	2017	9	0	1931	0	0	76.595	153.189	57.446	391	N/A	1	1	1	0	0	1	1	1	1	1	64.27	1	1	1	0	1
5	Huesca	2018	9	0	1931	0	0	76.244	152.488	57.183	455	N/A	1	1	1	0	0	1	1	1	1	1	63.16	1	1	1	0	1
5	Huesca	2019	9	0	1931	0	0	75.284	150.568	56.463	N/A	N/A	1	1	1	0	0	1	1	1	1	1	62.54	1	1	1	0	1
6	Jaca	2007	7	0	9	0	0	156.752	78.376	78.376	N/A	N/A	1	1	1	0	0	1	1	1	1	1	0.00	1	1	1	0	1
6	Jaca	2008	7	0	9	0	0	151.596	75.798	75.798	N/A	N/A	1	1	1	0	0	1	1	1	1	1	0.00	1	1	1	0	1
6	Jaca	2009	7	0	9	0	0	149.298	74.649	74.649	56	N/A	1	1	1	0	0	1	1	1	1	1	0.00	1	1	1	0	1
6	Jaca	2010	7	0	9	0	0	149.544	74.772	74.772	48	N/A	1	1	1	0	0	1	1	1	1	1	0.00	1	1	1	0	1
6	Jaca	2011	7	0	9	0	0	150.387	75.194	75.194	62	N/A	1	1	1	0	0	1	1	1	1	1	0.00	1	1	1	0	1
6	Jaca	2012	7	0	9	0	0	150.966	75.483	75.483	64	N/A	1	1	1	0	0	1	1	1	1	1	0.00	1	1	1	0	1
6	Jaca	2013	7	0	9	0	0	151.274	75.637	75.637	80	N/A	1	1	1	0	0	1	1	1	1	1	0.00	1	1	1	0	1
6	Jaca	2014	7	0	9	0	0	152.427	76.214	76.214	82	N/A	1	1	1	0	0	1	1	1	1	1	109.48	1	1	1	0	1
6	Jaca	2015	7	0	9	0	0	152.812	76.406	76.406	93	N/A	1	1	1	0	0	1	1	1	1	1	125.06	1	1	1	0	1
6	Jaca	2016	7	0	9	0	0	154.691	77.346	77.346	111	N/A	1	1	1	0	0	1	1	1	1	1	110.44	1	1	1	0	1
6	Jaca	2017	7	0	9	0	0	155.171	77.586	77.586	116	N/A	1	1	1	0	0	1	1	1	1	1	162.04	1	1	1	0	1
6	Jaca	2018	7	0	9	0	0	156.091	78.046	78.046	131	N/A	1	1	1	0	0	1	1	1	1	1	125.14	1	1	1	1	1
6	Jaca	2019	7	0	9	0	0	153.988	76.994	76.994	N/A	N/A	1	1	1	0	0	1	1	1	1	1	145.99	1	1	1	1	1
7	Sariñena	2007	1	0	365	0	0	0	237.756	237.756	N/A	N/A	1	1	1	0	0	1	1	1	1	1	0.00	1	1	1	1	1
7	Sariñena	2008	1	0	365	0	0	0	232.126	232.126	N/A	N/A	1	1	1	0	0	1	1	1	1	1	0.00	1	1	1	0	1
7	Sariñena	2009	1	0	365	0	0	0	224.467	224.467	7	N/A	1	1	1	0	0	1	1	1	1	1	0.00	1	1	1	0	1
7	Sariñena	2010	1	0	365	0	0	0	225.836	225.836	10	N/A	1	1	1	0	0	1	1	1	1	1	0.00	1	1	1	0	1
7	Sariñena	2011	1	0	365	0	0	0	227.169	227.169	11	N/A	1	1	1	0	0	1	1	1	1	1	0.00	1	1	1	0	1
7	Sariñena	2012	1	0	365	0	0	0	227.169	227.169	11	N/A	1	1	1	0	0	1	1	1	1	1	0.00	1	1	1	0	1
7	Sariñena	2013	1	0	365	0	0	0	231.321	231.321	21	N/A	1	1	1	0	0	1	1	1	1	1	0.00	1	1	1	0	1
7	Sariñena	2014	1	0	365	0	0	0	232.937	232.937	22	N/A	1	1	1	0	0	1	1	1	1	1	29.02	1	1	1	0	1
7	Sariñena	2015	1	0	365	0	0	0	236.798	236.798	27	N/A	1	1	1	0	0	1	1	1	1	1	35.26	1	1	1	0	1
7	Sariñena	2016	1	0	365	0	0	0	238.777	238.777	31	N/A	1	1	1	0	0	1	1	1	1	1	41.37	1	1	1	0	1
7	Sariñena	2017	1	0	365	0	0	0	240.674	240.674	30	N/A	1	1	1	0	0	1	1	1	1	1	65.63	1	1	1	0	1
7	Sariñena	2018	1	0	365	0	0	0	239.923	239.923	33	N/A	1	1	1	0	0	1	1	1	1	1	67.05	1	1	1	0	1
7	Sariñena	2019	1	0	365	0	0	0	240.385	240.385	N/A	N/A	1	1	1	0	0	1	1	1	1	1	65.25	1	1	1	0	1
8	Rotterdam	2007	484	1	0	0	0	N/A	48	N/A	2115	N/A	1	1	0	1	1	1	1	1	1	1	N/A	1	0	1	1	1
8	Rotterdam	2008	505	1	0	0	0	N/A	45	N/A	2395	N/A	1	1	0	1	1	1	1	1	1	1	N/A	1	0	1	1	1
8	Rotterdam	2009	521	1	0	0	0	N/A	46	N/A	2655	N/A	1	1	0	1	1	1	1	1	1	1	N/A	1	0	1	1	1
8	Rotterdam	2010	549	1	0	0	0	N/A	46	44	3160	2.866.542.225	1	1	0	1	1	1	1	1	1	1	N/A	1	0	1	1	1
8	Rotterdam	2011	551	1	0	0	0	N/A	41	41	3650	2.457.461.344	1	1	0	1	1	1	1	1	1	1	N/A	1	0	1	1	1
8	Rotterdam	2012	564	1	0	0	0	N/A	36	37	4190	2.450.264.499	1	1	0	1	1	1	1	1	1	1	N/A	1	0	1	1	1
8	Rotterdam	2013	564	1	0	0	0	N/A	36	24	4265	2.401.451.255	1	1	0	1	1	1	1	1	1	1	N/A	1	0	1	1	1
8	Rotterdam	2014	608	1	0	1	0	N/A	39	24	4285	1.892.110.868	1	1	0	1	1	1	1	1	1	1	N/A	1	0	1	1	1
8	Rotterdam	2015	610	1	1	1	0	N/A	35	24	4580	1.908.115.423	1	1	1	1	1	1	1	1	1	1	N/A	1	0	1	1	1
8	Rotterdam	2016	614	1	2	1	0	N/A	44	24	4850	2.001.251.576	1	1	1	1	1	1	1	1	1	1	N/A	1	0	1	1	1
8	Rotterdam	2017	614	1	2	1	0	N/A	44	25	5115	207.985.378	1	1	1	1	1	1	1	1	1	1	146.00	1	0	1	1	1
8	Rotterdam	2018	614	1	2	1	0	N/A	38	28	5440	2.144.941.695	1	1	1	1	1	1	1	1	1	1	145.00	1	0	1	1	1
8	Rotterdam	2019	617	1	6	1	0	N/A	38	28	5870	2.063.237.452	1	1	1	1	1	1	1	1	1	1	135.00	1	1	1	1	1
9	Delft	2007	693	0	1	0	0	N/A	N/A	N/A	280	N/A	1	1	0	1	1	1	1	1	0	1	N/A	1	0	1	1	1
9	Delft	2008	693	0	1	0	0	N/A	N/A	N/A	310	N/A	1	1	0	1	1	1	1	1	0	1	N/A	1	0	1	1	1
9	Delft	2009	693	0	1	0	0	N/A	N/A	N/A	335	N/A	1	1	0	1	1	1	1	1	0	1	N/A	1	0	1	1	1
9	Delft	2010	693	0	1	0	0	N/A	N/A	N/A	405	1.550.227.367	1	1	0	1	1	1	1	1	0	1	N/A	1	0	1	1	1
9	Delft	2011	694	0	1	0	0	N/A	N/A	N/A	435	1.433.104.719	1	1	0	1	1	1	1	1	0	1	N/A	1	0	1	1	1
9	Delft	2012	694	0	1	0	0	N/A	N/A	N/A	460	1.317.456.296	1	1	0	1	1	1	1	1	0	1	N/A	1	0	1	1	1
9	Delft	2013	694	0	1	0	0	N/A	N/A	N/A	475	1.311.845.969	1	1	0	1	1	1	1	1	0	1	N/A	1	0	1	1	1
9	Delft	2014	695	0	1	0	0	N/A	N/A	N/A	490	1.399.356.296	1	1	0	1	1	1	1	1	0	1	N/A	1	0	1	1	1
9	Delft	2015	696	0	1	0	0	N/A	N/A	N/A	490	1.385.727.012	1	1	1	1	1	1	1	1	0	1	N/A	1	0	1	1	1
9	Delft	2016	696	0	1	0	0	N/A	N/A	N/A	545	1.484.648.732	1	1	1	1	1	1	1	1	0	1	N/A	1	0	1	1	1
9	Delft	2017	696	0	1	0	0	N/A	N/A	N/A	565	1.775.480.613	1	1	1	1	1	1	1	1	0	1	68.00	1	0	1	1	1
9	Delft	2018	696	0	1	0	0	N/A	N/A	N/A	590	176.033.955	1	1	1	1	1	1	1	1	0	1	65.00	1	0	1	1	1
9	Delft	2019	696	0	1	0	0	118.776.601	2.969.415	296.415	620	1.647.877.631	1	1	1	1	1	1	1	1	0	1	62.00	1	0	1	1	1
10	Dordrecht	2007	879	1	0	0	0	N/A	N/A	N/A	255	N/A	1	1	0	1	1	1	1	1	0	1	N/A	1	0	1	1	1
10	Dordrecht	2008	879	1	0	0	0	N/A	N/A	N/A	275	N/A	1	1	0	1	1	1	1	1	0	1	N/A	1	0	1	1	1
10	Dordrecht	2009	879	1	0	0	0	N/A	N/A	N/A	305	N/A	1	1	0	1	1	1	1	1	0	1	N/A	1	0	1	1	1
10	Dordrecht	2010	879	1	0	0	0	N/A	N/A	N/A	360	10.972.316	1	1	0	1	1	1	1	1	0	1	N/A	1	0	1	1	1
10	Dordrecht	2011	879	1	0	0	0	N/A	N/A	N/A	400	1.010.015.992	1	1	0	1	1	1	1	1	0	1	N/A	1	0	1	1	1
10	Dordrecht	2012	879	1	0	0	0	N/A	N/A	N/A	440	1.009.574.128	1	1	0	1	1	1	1	1	0	1	N/A	1	0	1	1	1
10	Dordrecht	2013	879	1	0	0	0	N/A	N/A	N/A	465	16.038.357	1	1	0	1	1	1	1	1	0	1	N/A	1	0	1	1	1
10	Dordrecht	2014	879	1	0	0	0	N/A	N/A	N/A	485	1.011.028.637	1	1	0	1	1	1	1	1	0	1	N/A	1	0	1	1	1
10	Dordrecht	2015	879	1	0	0	0	N/A	N/A	N/A	470	1.093.364.957	1	1	1	1	1	1	1	1	0	1	N/A	1	0	1	1	1
10	Dordrecht	2016	879	1	0	0	0	N/A	N/A	N/A	480	1.094.266.883	1	1	1	1	1	1	1	1	0	1	N/A	1	0	1	1	1
10	Dordrecht	2017	879	1	0	0	0	N/A	N/A	N/A	520	117.913.603	1	1	1	1	1	1	1	1	0	1	68.00	1	0	1	1	1
10	Dordrecht	2018	879	1	0	0	0	N/A	N/A	N/A	555	1.182.172.834	1	1	1	1	1	1	1	1	0	1	65.00	1	0	1	1	1
10	Dordrecht	2019	879	1	0	0	0	25.137.839	25.137.839	41.896.399	580	1.179.901.225	1	1	1	1	1	1	1	1	0	1	62.00	1	0	1	1	1
11	Molenland	2007	266	1	1	1	0	N/A	0	N/A	N/A	N/A	1	1	0	1	0	1	1	1	0	1	N/A	1	0	1	1	1
11	Molenland	2008	269	1	1	1	0	N/A	0	N/A	N/A	N/A	1	1	0	1	0	1	1	1	0	1	N/A	1	0	1	1	1
11	Molenland	2009	269	1	1	1	0	N/A	0	N/A	N/A	N/A	1	1	0	1	0	1	1	1	0	1	N/A	1	0	1	1	1
11	Molenland	2010	269	1	1	1	0	N/A	0	N/A	N/A	N/A	1	1	0	1	0	1	1	1	0	1	N/A	1	0	1	1	1
11	Molenland	2011	270	1	1	1	0	N/A	0	N/A	N/A	N/A	1	1	0	1	0	1	1	1	0	1	N/A	1	0	1	1	1
11	Molenland	2012	270	1	1	1	0	N/A	0	N/A	N/A	N/A	1	1	0	1	0	1	1	1	0	1	N/A	1	0	1	1	1
11	Molenland	2013	270	1	1	1	0	N/A	0	N/A	N/A	N/A	1	1	0	1	0	1	1	1	0	1	N/A	1	0	1	1	1
11	Molenland	2014	270	1	1	1	0	N/A	0	N/A	N/A	N/A	1	1	0	1	0	1	1	1	0	1	N/A	1	0	1	1	1
11	Molenland	2015	270	1	1	1	0	N/A	0	N/A	N/A	N/A	1	1	1	1	0	1	1	1	0	1	N/A	1	0	1	1	1
11	Molenland	2016	270	1	1	1	0	N/A	0	N/A	N/A	N/A	1	1	1	1	0	1	1	1	0	1	N/A	1	0	1	1	1
11	Molenland	2017	270	1	1	1	1	N/A	0	N/A	N/A	N/A	1	1	1	1	0	1	1	1	0	1	26.00	1	0	1	1	1
11	Molenland	2018	270	1	1	1	0	N/A	0	N/A	N/A	N/A	1	1	1	1	0	1	1	1	0	1	26.00	1	0	1	1	1
11	Molenland	2019	270	1	1	1	0	22.774.374	0	68.323.123	65	N/A	1	1	1	1	0	1	1	1	0	1	27.00	1	0	1	1	1
12	Barendrecht	2007	20	1	0	0	0	0	N/A	N/A	65	N/A	1	1	0	1	0	0	1	1	0	1	N/A	1	0	1	0	1
12	Barendrecht	2008	20	1	0	0	0	0	N/A	N/A	70	N/A	1	1	0	1	0	0	1	1	0	1	N/A	1	0	1	0	1
12	Barendrecht	2009	20	1	0	0	0	0	N/A	N/A	80	N/A	1	1	0	1	0	0	1	1	0	1	N/A	1	0	1	0	1
12	Barendrecht	2010	20	1	0	0	0	0	N/A	N/A	105	1.291.739.327	1	1	0	1	0	0	1	1	0	1	N/A	1	0	1	0	1
12	Barendrecht	2011	20	1	0	0	0	0	N/A	N/A	120	1.281.202.622	1	1	0	1	0	0	1	1	0	1	N/A	1	0	1	0	1
12	Barendrecht	2012	20	1	0	0	0	0	N/A	N/A	140	1.275.157.801	1	1	0	1	0	0	1	1	0	1	N/A	1	0	1	0	1
12	Barendrecht	2013	20	1	0	0	0	0	N/A	N/A	140	3.377.593.887	1	1	0	1	0	0	1	1	0	1	N/A	1	0	1	0	1
12	Barendrecht	2014	20	1	0	0	0	0	N/A	N/A	145	1.055.364.417	1	1	0	1	0	0	1	1	0	1	N/A	1	0	1	1	1
12	Barendrecht	2015	20	1	0	0	0	0	N/A	N/A	150	1.052.166.411	1	1	1	1	0	0	1	1	0	1	N/A	1	0	1	1	1
12	Barendrecht	2016	20	1	0	0	0	0	N/A	N/A	170	104.469.192	1	1	1	1	0	0	1	1	0	1	N/A	1	0	1	1	1
12	Barendrecht	2017	20	1	0	0	0	0	N/A	N/A	170	1.034.254.509	1	1	1	1	0	0	1	1	0	1	26.00	1	0	1	1	1
12	Barendrecht	2018	20	1	0	0	0	0	N/A	N/A	175	1.031.416.961	1	1	1	1	0	0	1	1	0	1	26.00	1	0	1	1	1
12	Barendrecht	2019	20	1	0	0	0	0	61.583.939	41.055.959	175	1.027.263.575	1	1	1	1	0	0	1	1	0	1	27.00	1	0	1	1	1
13	Ridderkerk	2007	56	0	0	0	0	0	N/A	N/A	55	N/A	1	1	0	1	0	0	1	1	0	1	N/A	1	0	1	0	1
13	Ridderkerk	2008	56	0	0	0	0	0	N/A	N/A	60	N/A	1	1	0	1	0	0	1	1	0	1	N/A	1	0	1	0	1
13	Ridderkerk	2009	56	0	0	0	0	0	N/A	N/A	70	N/A	1	1	0	1	0	0	1	1	0	1	N/A	1	0	1	0	1
13	Ridderkerk	2010	56	0	0	0	0	0	N/A	N/A	85	67.045.099	1	1	0	1	0	0	1	1	0	1	N/A	1	0	1	0	1
13	Ridderkerk	2011	56	0	0	0	0	0	N/A	N/A	95	6.683.151.774	1	1	0	1	0	0	1	1	0	1	N/A	1	0	1	0	1
13	Ridderkerk	2012	56	0	0	0	0	0	N/A	N/A	90	6.635.993.629	1	1	0	1	0	0	1	1	0	1	N/A	1	0	1	0	1
13	Ridderkerk	2013	56	0	0	0	0	0	N/A	N/A	110	6.618.133.686	1	1	0	1	0	0	1	1	0	1	N/A	1	0	1	0	1
13	Ridderkerk	2014	56	0	0	0	0	0	N/A	N/A	115	6.629.394.736	1	1	0	1	0	0	1	1	0	1	N/A	1	0	1	0	1
13	Ridderkerk	2015	56	0	0	0	0	0	N/A	N/A	125	6.644.665.441	1	1	1	1	0	0	1	1	0	1	N/A	1	0	1	0	1
13	Ridderkerk	2016	56	0	0	0	0	0	N/A	N/A	115	6.652.327.206	1	1	1	1	0	0	1	1	0	1	N/A	1	0	1	0	1
13	Ridderkerk	2017	56	0	0	0	0	0	N/A	N/A	135	6.606.765.328	1	1	1	1	0	0	1	1	0	1	26.00	1	0	1	0	1
13	Ridderkerk	2018	56	0	0	0	0	0	N/A	N/A	135	6.551.791.915	1	1	1	1	0	0	1	1	0	1	26.00	1	0	1	0	1
13	Ridderkerk	2019	56	0	0	0	0	0	4.294.057	64.410.855	140	6.487.748.967	1	1	1	1	0	0	1	1	0	1	27.00	1	0	1	0	1
14	Zwijndrecht	2007	13	0	0	0	0	0	N/A	N/A	65	N/A	1	1	0	1	0	0	1	1	0	1	N/A	1	0	1	0	1
14	Zwijndrecht	2008	13	0	0	0	0	0	N/A	N/A	75	N/A	1	1	0	1	0	0	1	1	0	1	N/A	1	0	1	0	1
14	Zwijndrecht	2009	13	0	0	0	0	0	N/A	N/A	85	N/A	1	1	0	1	0	0	1	1	0	1	N/A	1	0	1	0	1
14	Zwijndrecht	2010	14	0	0	0	0	0	N/A	N/A	90	6.756.148.095	1	1	0	1	0	0	1	1	0	1	N/A	1	0	1	0	1
14	Zwijndrecht	2011	14	0	0	0	0	0	N/A	N/A	105	2.249.971.875	1	1	0	1	0	0	1	1	0	1	N/A	1	0	1	0	1
14	Zwijndrecht	2012	14	0	0	0	0	0	N/A	N/A	95	202.251.736	1	1	0	1	0	0	1	1	0	1	N/A	1	0	1	0	1
14	Zwijndrecht	2013	14	0	0	0	0	0	N/A	N/A	110	2.241.649.854	1	1	0	1	0	0	1	1	0	1	N/A	1	0	1	0	1
14	Zwijndrecht	2014	14	0	0	0	0	0	N/A	N/A	115	1.795.856.062	1	1	0	1	0	0	1	1	0	1	N/A	1	0	1	0	1
14	Zwijndrecht	2015	14	0	0	0	0	0	N/A	N/A	120	8.988.562.055	1	1	1	1	0	0	1	1	0	1	N/A	1	0	1	0	1
14	Zwijndrecht	2016	14	0	0	0	0	0	N/A	N/A	125	8.998.065.416	1	1	1	1	0	0	1	1	0	1	N/A	1	0	1	0	1
14	Zwijndrecht	2017	14	0	0	0	0	0	N/A	N/A	130	9.005.560.934	1	1	1	1	0	0	1	1	0	1	26.00	1	0	1	0	1
14	Zwijndrecht	2018	14	0	0	0	0	0	N/A	N/A	140	8.971.426.008	1	1	1	1	0	0	1	1	0	1	26.00	1	0	1	0	1
14	Zwijndrecht	2019	14	0	0	0	0	0	44.801.864	44.801.864	140	8.960.774.211	1	1	1	1	0	0	1	1	0	1	27.00	1	0	1	0	1
15	Utsjoki	2007	N/A	3	1	0	0	1.498.127.341	0	74.906.367	N/A	N/A	1	1	1	1	1	1	1	1	0	0	N/A	1	1	1	0	1
